frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
67,2313.0,[1070.1442557407636 1239.723897040566 1693.9556676318239 1728.9078666336977],[1301.05029296875 1540.4249267578125 1456.746826171875 1609.3238525390625],0.36055630445480347,GX15OGJ,0.36858251625953337
68,2312.0,[2258.6185677578796 1509.2698292484731 2976.6138512669713 2152.5869926169717],[2545.618408203125 2062.361083984375 2730.35546875 2116.876953125],0.5837322473526001,UNKNOWN,0
68,2313.0,[1068.1959836568508 1245.0044096443798 1693.4933342786644 1735.365815948187],[1295.8526611328125 1548.3883056640625 1460.593994140625 1617.8404541015625],0.25249654054641724,GX15OGJ,0.36131549020301523
69,2312.0,[2263.5833991303098 1518.2243050188354 2981.067511767178 2153.8573226412013],[2543.117919921875 2070.509765625 2727.642822265625 2135.490966796875],0.37763074040412903,UNKNOWN,0
70,2313.0,[1063.9487747792061 1256.307462802706 1690.648799980638 1752.1521734556202],[1298.8372802734375 1578.93701171875 1463.4754638671875 1646.336181640625],0.4164496660232544,GX15OGJ,0.3726521946250347
70,2312.0,[2266.6777170809073 1526.8544588296606 2984.130138549389 2154.6294151001366],[2564.3486328125 2071.91796875 2747.627685546875 2143.341552734375],0.34562554955482483,UNKNOWN,0
71,2313.0,[1058.960184396204 1260.0696663547444 1689.8937047017812 1757.2682548788891],[1291.9052734375 1582.5982666015625 1452.847412109375 1646.806640625],0.2995368242263794,GX15OGJ,0.6348794608491807
72,2313.0,[1053.3204761653326 1263.3810014924368 1686.36687425292 1762.778102281148],[1296.489013671875 1584.6485595703125 1468.7449951171875 1650.31689453125],0.5160162448883057,GX15OGJ,0.3688534435948273
76,2313.0,[1045.668119282755 1279.2258020311942 1685.9706387469023 1782.8931762860734],[1292.2730712890625 1616.8599853515625 1457.4420166015625 1670.4267578125],0.4415123760700226,GX15OGJ,0.7624136514624318
77,2313.0,[1042.5065132741595 1282.2819529817014 1687.002232871295 1790.0190770341617],[1258.119873046875 1620.03515625 1442.495849609375 1686.0303955078125],0.5648927688598633,UNKNOWN,0
